Step,State,Action,SINR1,SINR2,SINR3,C1,C2,C3
1,[ 8.5 21.  27.1],[0.1 0.  0.1],-7.497845,-9.364661,-5.657211,0.23623687,0.15801822,0.34689268
2,[ 8.5 21.  27. ],[ 0.1 -0.1 -0.1],-6.754228,-9.61955,-10.86517,0.2763695,0.14946154,0.113617234
3,[ 8.5 21.1 26.9],[ 0.   0.1 -0.1],-13.451769,-8.159248,-3.878722,0.063733764,0.20512103,0.4950618
4,[ 8.5 21.2 27. ],[0.  0.1 0.1],-19.316746,-5.3412004,-4.827397,0.01678687,0.36997947,0.41039416
5,[ 8.4 21.2 26.9],[-0.1  0.  -0.1],-12.431866,-7.5679297,-3.9740043,0.08014366,0.23274443,0.4859392
6,[ 8.4 21.1 27. ],[ 0.  -0.1  0.1],-18.60569,-7.112894,-1.7061914,0.019752748,0.2562938,0.74426436
7,[ 8.299999 21.2      26.9     ],[-0.1  0.1 -0.1],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
8,[ 8.299999 21.1      27.      ],[ 0.  -0.1  0.1],-16.377089,-8.59189,-4.4240546,0.032848176,0.18687622,0.44474396
9,[ 8.199999 21.2      27.1     ],[-0.1  0.1  0.1],-8.493738,-12.603999,-3.3864417,0.19087723,0.077111036,0.5445026
10,[ 8.199999 21.300001 27.1     ],[0.  0.1 0. ],-7.5523453,-9.310843,-4.8414598,0.23351684,0.15988335,0.4092389
11,[ 8.099998 21.2      27.1     ],[-0.1 -0.1  0. ],-8.467994,-7.5454135,-3.3784223,0.1919398,0.2338613,0.54534066
12,[ 8.199999 21.1      27.1     ],[ 0.1 -0.1  0. ],-12.523279,-11.433059,-4.6570473,0.07851895,0.10016263,0.42461264
13,[ 8.099998 21.       27.2     ],[-0.1 -0.1  0.1],-18.770714,-9.040499,-1.8991715,0.019021228,0.16957106,0.7187693
14,[ 8.199999 21.1      27.1     ],[ 0.1  0.1 -0.1],-12.523279,-11.433059,-4.6570473,0.07851895,0.10016263,0.42461264
15,[ 8.199999 21.2      27.2     ],[0.  0.1 0.1],-8.181106,-8.28463,-9.601221,0.2041608,0.1996695,0.15006179
16,[ 8.199999 21.300001 27.1     ],[ 0.   0.1 -0.1],-7.5523453,-9.310843,-4.8414598,0.23351684,0.15988335,0.4092389
17,[ 8.299999 21.400002 27.      ],[ 0.1  0.1 -0.1],-8.155316,-6.6408916,-6.8470263,0.2052942,0.28300425,0.2710425
18,[ 8.299999 21.300001 27.      ],[ 0.  -0.1  0. ],-8.704084,-7.00576,-3.2412384,0.18239921,0.26214662,0.55984104
19,[ 8.199999 21.400002 26.9     ],[-0.1  0.1 -0.1],-12.339573,-14.076294,-0.92562133,0.08181709,0.055358738,0.8544341
20,[ 8.299999 21.300001 26.9     ],[ 0.1 -0.1  0. ],-7.06984,-5.3216214,-10.104586,0.25863144,0.37145326,0.13437948
21,[ 8.199999 21.2      27.      ],[-0.1 -0.1  0.1],-8.315307,-9.229024,-3.6730387,0.19835632,0.16275872,0.5152441
22,[ 8.099998 21.300001 27.      ],[-0.1  0.1  0. ],-8.313593,-7.28652,-9.633002,0.1984296,0.24706176,0.14902234
23,[ 8.199999 21.300001 26.9     ],[ 0.1  0.  -0.1],-6.807511,-9.260897,-9.475399,0.27329934,0.16163291,0.15424518
24,[ 8.299999 21.300001 27.      ],[0.1 0.  0.1],-8.704084,-7.00576,-3.2412384,0.18239921,0.26214662,0.55984104
25,[ 8.4 21.2 27. ],[ 0.1 -0.1  0. ],-12.911734,-8.832719,-7.7490444,0.07196557,0.17739004,0.2239382
26,[ 8.5      21.300001 27.1     ],[0.1 0.1 0.1],-12.72966,-5.3347464,-9.794169,0.074968025,0.37046474,0.14385511
27,[ 8.5      21.300001 27.1     ],[0.1 0.  0. ],-12.72966,-5.3347464,-9.794169,0.074968025,0.37046474,0.14385511
28,[ 8.5 21.2 27.1],[ 0.  -0.1  0. ],-19.554947,-5.28697,-4.111621,0.01589583,0.37407422,0.4730133
29,[ 8.5      21.300001 27.2     ],[0.  0.1 0.1],-15.102473,-9.8474,-3.8969796,0.043883875,0.14218622,0.4933027
30,[ 8.5      21.2      27.300001],[ 0.1 -0.1  0.1],-15.982619,-8.907091,-2.2683666,0.035932906,0.17455314,0.6718806
31,[ 8.5      21.300001 27.400002],[0.  0.1 0.1],-20.432262,-10.567437,-2.191405,0.01300143,0.121349484,0.6814523
32,[ 8.4      21.400002 27.400002],[-0.1  0.1  0. ],-8.865671,-6.9964685,-5.3262296,0.17612779,0.26265994,0.37110594
33,[ 8.299999 21.500002 27.400002],[-0.1  0.1  0. ],-10.270888,-4.9405293,-4.083328,0.12955093,0.40118033,0.47564688
34,[ 8.199999 21.600002 27.500002],[-0.1  0.1  0.1],-18.931488,-4.3321724,-8.028138,0.018334335,0.4529043,0.21096943
35,[ 8.099998 21.600002 27.500002],[-0.1  0.   0. ],-18.851776,-11.389239,-1.301936,0.01867171,0.101143435,0.7998996
36,[ 8.199999 21.500002 27.400002],[ 0.1 -0.1 -0.1],-11.558987,-9.502627,-4.488429,0.09739435,0.15333061,0.43910182
37,[ 8.199999 21.500002 27.400002],[0. 0. 0.],-11.558987,-9.502627,-4.488429,0.09739435,0.15333061,0.43910182
38,[ 8.299999 21.400002 27.400002],[ 0.1 -0.1  0. ],-7.933332,-8.878982,-4.4072227,0.21529466,0.17562036,0.4462294
39,[ 8.299999 21.500002 27.400002],[0.  0.1 0. ],-10.270888,-4.9405293,-4.083328,0.12955093,0.40118033,0.47564688
40,[ 8.4      21.600002 27.300001],[ 0.1  0.1 -0.1],-10.008914,-10.375886,-7.444993,0.13723461,0.12658821,0.23890252
41,[ 8.5      21.700003 27.2     ],[ 0.1  0.1 -0.1],-15.612594,-7.0864525,-2.9061992,0.039085716,0.2577271,0.596582
42,[ 8.4      21.700003 27.1     ],[-0.1  0.  -0.1],-17.956497,-7.6056447,-7.5004516,0.022912467,0.2308846,0.23610619
43,[ 8.4      21.600002 27.2     ],[ 0.  -0.1  0.1],-12.952419,-11.564234,-1.4103314,0.071310796,0.09728069,0.78468376
44,[ 8.4      21.700003 27.300001],[0.  0.1 0.1],-21.50994,-6.5426316,-1.1262684,0.010154325,0.2888727,0.8250254
45,[ 8.299999 21.800003 27.400002],[-0.1  0.1  0.1],-10.080437,-10.453421,-6.323905,0.13509473,0.124442086,0.30233198
46,[ 8.199999 21.900003 27.300001],[-0.1  0.1 -0.1],-8.87256,-6.343543,-4.350899,0.17586504,0.30110094,0.45123088
47,[ 8.199999 21.800003 27.400002],[ 0.  -0.1  0.1],-9.347871,-6.832603,-3.8486977,0.15859783,0.27186435,0.49796608
48,[ 8.199999 21.900003 27.300001],[ 0.   0.1 -0.1],-8.87256,-6.343543,-4.350899,0.17586504,0.30110094,0.45123088
49,[ 8.099998 21.900003 27.400002],[-0.1  0.   0.1],-8.839827,-8.013331,-5.9723067,0.17711702,0.2116397,0.3251509
50,[ 8.099998 22.000004 27.300001],[ 0.   0.1 -0.1],-16.624994,-19.384905,-1.786781,0.031045236,0.016526926,0.73353446
1,[ 8.5 21.1 26.9],[ 0.1  0.1 -0.1],-13.451769,-8.159248,-3.878722,0.063733764,0.20512103,0.4950618
2,[ 8.4 21.  26.9],[-0.1 -0.1  0. ],-12.175817,-5.4634476,-3.893818,0.08487033,0.36089274,0.493607
3,[ 8.299999 21.       27.      ],[-0.1  0.   0.1],-14.816355,-9.232938,-2.646963,0.046824425,0.16262013,0.62632734
4,[ 8.199999 21.1      27.      ],[-0.1  0.1  0. ],-10.502434,-6.1913605,-12.213024,0.12310343,0.31076002,0.08416705
5,[ 8.299999 21.2      26.9     ],[ 0.1  0.1 -0.1],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
6,[ 8.4 21.1 27. ],[ 0.1 -0.1  0.1],-18.60569,-7.112894,-1.7061914,0.019752748,0.2562938,0.74426436
7,[ 8.299999 21.2      27.      ],[-0.1  0.1  0. ],-9.455723,-7.0479198,-7.3368692,0.15490925,0.259829,0.24444208
8,[ 8.199999 21.300001 26.9     ],[-0.1  0.1 -0.1],-6.807511,-9.260897,-9.475399,0.27329934,0.16163291,0.15424518
9,[ 8.199999 21.2      26.9     ],[ 0.  -0.1  0. ],-7.8952913,-6.5442286,-5.5036507,0.2170532,0.2887764,0.35794765
10,[ 8.299999 21.2      26.9     ],[0.1 0.  0. ],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
11,[ 8.199999 21.1      26.9     ],[-0.1 -0.1  0. ],-10.704052,-5.3199124,-5.496566,0.11774074,0.37158206,0.35846516
12,[ 8.099998 21.1      27.      ],[-0.1  0.   0.1],-7.9286723,-6.86816,-9.562946,0.21550931,0.2698425,0.15132289
13,[ 8.099998 21.       27.1     ],[ 0.  -0.1  0.1],-15.641625,-9.963446,-3.430731,0.038828924,0.13861163,0.5398935
14,[ 8.199999 21.1      27.2     ],[0.1 0.1 0.1],-15.821131,-17.444416,-0.25759375,0.037276816,0.025754297,0.95784897
15,[ 8.299999 21.2      27.2     ],[0.1 0.1 0. ],-12.533862,-7.725575,-4.5745435,0.07833293,0.22506179,0.43164995
16,[ 8.299999 21.1      27.300001],[ 0.  -0.1  0.1],-19.414198,-6.9219303,-3.147597,0.016416576,0.26681098,0.5699191
17,[ 8.4 21.1 27.2],[ 0.1  0.  -0.1],-13.5604315,-7.048036,-7.0247574,0.062192257,0.2598227,0.26109993
18,[ 8.5      21.2      27.300001],[0.1 0.1 0.1],-15.982619,-8.907091,-2.2683666,0.035932906,0.17455314,0.6718806
19,[ 8.5 21.2 27.2],[ 0.1  0.  -0.1],-18.154087,-5.762937,-3.459731,0.021901047,0.33945793,0.536893
20,[ 8.5      21.2      27.300001],[0.1 0.  0.1],-15.982619,-8.907091,-2.2683666,0.035932906,0.17455314,0.6718806
